invoice_no,product_id,customer_id,country_id,date_id,quantity,unit_price,revenue
548714,3349,17337.0,1,97,2,1.65,3.3
548554,1457,13694.0,1,96,12,1.95,23.4
562101,3863,13850.0,1,195,10,1.65,16.5
569129,4388,15034.0,1,245,2,2.08,4.16
572066,1461,15159.0,1,262,16,0.85,13.6
541223,291,17954.0,1,30,2,0.55,1.1
563242,298,17173.0,1,206,8,2.55,20.4
575070,787,17841.0,1,278,2,0.79,1.58
542541,1729,,1,42,1,5.4,5.4
560868,4539,14866.0,1,185,1,2.49,2.49
543371,1962,14048.0,1,50,48,0.21,10.08
C568386,714,12720.0,5,242,-3,2.95,-8.850000000000001
580306,2709,14250.0,1,299,3,4.95,14.85
569246,373,14096.0,1,247,1,0.42,0.42
573142,2736,18035.0,1,268,48,0.42,20.16
566477,4504,14359.0,1,230,6,2.08,12.48
540418,542,,1,24,2,0.85,1.7
556815,56,14852.0,1,154,6,2.95,17.700000000000003
543232,499,13113.0,1,48,12,1.65,19.8
549100,38,,1,100,3,3.29,9.87
568650,1411,13505.0,8,243,12,0.85,10.2
574561,495,,1,275,1,3.29,3.29
554285,794,,1,135,1,4.13,4.13
553374,3862,14489.0,1,129,10,2.08,20.8
568945,58,14239.0,1,244,4,4.25,17.0
541104,1745,,1,29,1,0.83,0.83
546656,2294,,1,81,1,2.46,2.46
540471,111,15601.0,1,24,4,7.95,31.8
553671,4175,13659.0,1,131,3,4.25,12.75
536446,477,15983.0,1,1,24,0.42,10.08
575947,4763,,1,282,3,2.46,7.38
538280,50,12748.0,1,9,12,1.25,15.0
556915,715,15036.0,1,154,1,2.95,2.95
562517,163,15719.0,1,198,1,1.65,1.65
545067,522,17894.0,1,67,2,1.65,3.3
554124,1197,13339.0,1,135,4,4.25,17.0
557057,1694,16843.0,1,155,36,0.19,6.84
578251,4910,15993.0,1,291,1,2.89,2.89
564755,4837,,1,218,4,1.66,6.64
552857,2102,,1,125,17,0.83,14.11
556023,3971,14527.0,1,148,1,7.95,7.95
563982,3562,14397.0,1,212,24,1.25,30.0
